,geo_id,geo_type,multi,single,condo,land,owner,rental,total_units,owner_pct,house_age_avg,sqft_avg,lot_size_avg,house_age,lot_size
45,22976,county,0,12,0,0,7,5,12,0.5833,1995,797.3333,1.3166693,"{'t1969': 2, 't2000-09': 4, 't2010-19': 3, 't1990-99': 3}","{'a75': 5, 'a50': 1, 'a3': 3, 'a1': 2, 'a2': 1}"
46,63,county,572,36484,780,174,31578,6454,38032,0.8303,1958,2166.0356,1.8011622,"{'t1990-99': 3868, 't1980-89': 4902, 't2010-19': 820, 't1969': 19974, 't2000-09': 3210, 't1970-79': 5256, 't2020-29': 2}","{'a125': 1274, 'a75': 5520, 'a50': 10410, 'a25': 4940, 'a3': 5686, 'a1': 4390, 'a2': 5812}"
47,58793,county,0,1112,36,6,602,552,1154,0.5217,1987,1858.8901,2.5109525,"{'t1990-99': 348, 't1980-89': 258, 't2010-19': 46, 't1969': 104, 't2000-09': 228, 't1970-79': 170}","{'a125': 94, 'a75': 104, 'a50': 368, 'a25': 236, 'a3': 204, 'a1': 72, 'a2': 76}"
48,5801,county,207,164484,7479,522,126369,54135,180504,0.7001,1970,1984.8525,2.7285664,"{'t1990-99': 24750, 't1980-89': 25344, 't2010-19': 3114, 't1969': 76626, 't2000-09': 27603, 't1970-79': 23067}","{'a125': 13851, 'a75': 22356, 'a50': 37665, 'a25': 27117, 'a3': 33930, 'a1': 16182, 'a2': 29403}"
49,28617,county,0,43,0,0,30,15,45,0.6667,1963,1864.0,1.1038337,"{'t1990-99': 6, 't1980-89': 4, 't1969': 26, 't2000-09': 3, 't1970-79': 6}","{'a125': 1, 'a75': 4, 'a50': 17, 'a25': 11, 'a3': 3, 'a1': 4, 'a2': 5}"
50,1088,county,4,316,2,9,91,240,331,0.2749,1974,2784.4255,1.1037644,"{'t1990-99': 77, 't1980-89': 87, 't2010-19': 21, 't1969': 66, 't2000-09': 46, 't1970-79': 34}","{'a125': 49, 'a75': 25, 'a50': 59, 'a25': 87, 'a3': 43, 'a1': 23, 'a2': 45}"
51,14025,county,154,215411,44534,896,227640,36085,263725,0.8632,1977,2433.231,0.7971911,"{'t1990-99': 48587, 't1980-89': 50330, 't2010-19': 13790, 't1969': 73423, 't2000-09': 34573, 't1970-79': 43015, 't2020-29': 7}","{'a125': 50267, 'a75': 22694, 'a50': 69468, 'a25': 69139, 'a3': 19040, 'a1': 14847, 'a2': 18270}"
52,18211,county,8,576,0,1,394,191,585,0.6735,1948,1409.464,2.1978943,"{'t1990-99': 25, 't1980-89': 21, 't2010-19': 5, 't1969': 448, 't2000-09': 21, 't1970-79': 65}","{'a125': 2, 'a75': 73, 'a50': 54, 'a25': 12, 'a3': 123, 'a1': 108, 'a2': 213}"
53,64315,county,1,91,0,4,43,53,96,0.4479,1980,2352.8696,13.211929,"{'t1990-99': 23, 't1980-89': 9, 't2010-19': 1, 't1969': 24, 't2000-09': 26, 't1970-79': 13}","{'a125': 2, 'a75': 4, 'a50': 14, 'a25': 10, 'a3': 51, 'a1': 8, 'a2': 7}"
54,24119,county,215,37749,8761,258,35822,12474,48296,0.7417,1985,1818.0707,0.32527414,"{'t1990-99': 8252, 't1980-89': 11697, 't2010-19': 1506, 't1969': 10582, 't2000-09': 11619, 't1970-79': 4640}","{'a125': 9938, 'a75': 1417, 'a50': 9623, 'a25': 24018, 'a3': 835, 'a1': 1008, 'a2': 1457}"
